id,recommended
9,0
27,1
28,1
40,0
44,0
45,1
48,0
62,0
67,1
69,1
72,1
77,0
79,0
83,1
89,0
90,0
95,0
98,1
105,1
106,0
110,1
120,1
122,1
136,0
141,0
143,0
148,1
153,1
156,0
158,1
164,0
173,0
174,0
176,0
178,1
190,0
191,0
195,1
199,0
214,1
215,0
223,0
224,1
229,1
230,1
237,1
240,0
243,1
246,0
248,0
264,0
266,0
273,1
276,0
278,1
280,0
284,0
287,0
289,1
292,1
307,1
313,0
315,1
317,0
324,0
338,1
347,1
360,0
362,0
365,0
367,1
377,1
386,0
387,1
389,0
393,1
395,1
402,1
404,0
406,1
410,1
414,0
415,1
422,1
423,1
426,0
427,0
429,0
430,1
437,1
441,0
442,1
443,1
448,0
449,1
453,1
454,1
455,1
460,1
464,0
475,1
476,0
482,0
483,0
488,0
500,0
501,0
506,0
513,0
514,0
518,1
519,1
527,0
535,0
538,0
539,0
541,1
543,1
552,0
554,0
556,0
558,1
560,1
563,0
576,0
577,0
583,1
586,1
587,0
596,0
601,0
610,1
617,1
619,0
623,0
639,1
640,0
641,1
653,0
654,1
660,1
666,1
672,0
675,0
677,1
683,0
693,1
696,1
698,1
705,0
708,1
714,1
734,1
740,0
747,1
750,1
752,1
757,1
760,0
764,0
777,1
782,1
788,0
793,0
802,0
804,0
805,1
806,1
807,0
808,1
809,1
811,1
813,1
816,1
823,0
826,0
827,1
831,0
838,0
840,1
846,0
849,0
851,1
856,1
867,1
880,0
884,1
885,0
889,1
894,0
906,1
909,0
915,0
931,0
934,1
938,0
941,0
946,1
950,1
953,0
971,0
972,0
977,1
988,1
989,1
990,0
1002,1
1009,1
1014,0
1015,1
1022,1
1028,1
1030,0
1038,0
1040,0
1047,1
1048,0
1049,1
1051,0
1055,1
1060,0
1067,1
1075,1
1077,0
1079,1
1082,1
1084,0
1085,0
1087,0
1088,1
1093,0
1094,0
1112,1
1115,0
1116,1
1120,1
1129,1
1130,0
1132,0
1137,0
1144,1
1159,1
1161,0
1164,0
1166,1
1170,1
1177,0
1180,1
1196,0
1199,0
1209,0
1214,1
1218,0
1220,0
1226,1
1227,0
1237,1
1269,0
1274,0
1276,1
1277,0
1280,1
1290,1
1294,1
1302,1
1307,1
1309,1
1310,1
1314,0
1316,0
1318,0
1331,0
1344,0
1346,0
1347,0
1348,0
1349,0
1351,1
1358,0
1363,1
1371,1
1373,1
1375,0
1376,1
1382,0
1389,0
1394,1
1395,0
1397,0
1400,1
1413,1
1417,1
1423,0
1429,0
1437,1
1438,1
1443,1
1464,0
1472,0
1477,1
1478,0
1481,1
1483,0
1484,1
1488,1
1489,1
1496,1
1502,0
